6860484520751177335,4458232275409155031,8999700327552659041
7365470845452860215,6947947843988055644,3657880608956961936
3204982061734503881,7157880194849840545,3923612370498483334
4921088071034066387,5625477440857750557,1029801784307859177
4610435318829489408,2506167696911143209,3131188754144882138
7716963708910793379,7585722298452111649,5138454476081848887
8535401008805053295,5439175774539623004,8475183633734227862
369556325929132078,3097553536367743759,4169282197947710421
7697144754851662673,6675497394049939725,653526548156481911
6681235281883063029,8201535018817725513,8056554887548090840
