2001,8326
2001,17926
2001,33789
2001,49926
2001,65926
2001,81926
2001,8326
2001,17926
2001,33926
2001,49926
2001,65926
2001,81926
2001,8326
2001,17926
2001,33926
2001,49926
2001,65926
2001,81926
2001,8326
2001,17926
2001,33926
2001,49926
2001,65926
2001,81926
2001,8326
2001,17926
2001,33926
2001,49926
2001,65926
2001,81926
196,720
291,1126
576,2326
1051,4326
2001,8326
3901,16326
9601,40328
19101,80328
196,720
291,1126
576,2189
1051,4326
2001,8326
3901,16326
9601,40328
19101,80328
196,720
291,1126
576,2326
1051,4326
2001,8326
3901,16326
9601,40328
19101,80328
196,720
291,1126
576,2326
1051,4189
2001,8326
3901,16326
9601,40328
19101,80328
196,720
291,1126
576,2326
1051,4326
2001,8326
3901,16326
9601,40328
19101,80328
